gene	GO	ECO
P92683	GO:0005575	IC
P92683	GO:0005739	IC
P92683	GO:0043226	IC
P92683	GO:0043227	IC
P92683	GO:0043229	IC
P92683	GO:0043231	IC
P92683	GO:0044424	IC
P92683	GO:0044444	IC
P92683	GO:0044464	IC
P92683	GO:0006091	IC
P92683	GO:0006123	IC
P92683	GO:0008150	IC
P92683	GO:0008152	IC
P92683	GO:0009060	IC
P92683	GO:0009987	IC
P92683	GO:0015980	IC
P92683	GO:0019646	IC
P92683	GO:0022900	IC
P92683	GO:0022904	IC
P92683	GO:0044237	IC
P92683	GO:0045333	IC
P92683	GO:0055114	IC
P92683	GO:0005751	IC
P92683	GO:0032991	IC
P92683	GO:0044422	IC
P92683	GO:0044425	IC
P92683	GO:0044429	IC
P92683	GO:0044446	IC
P92683	GO:0044455	IC
P92683	GO:0045277	IC
P92683	GO:0070069	IC
P92683	GO:0098796	IC
P92683	GO:0098798	IC
P92683	GO:0098800	IC
P92683	GO:0098803	IC
Q5J4W0	GO:0005575	IC
Q5J4W0	GO:0005739	IC
Q5J4W0	GO:0043226	IC
Q5J4W0	GO:0043227	IC
Q5J4W0	GO:0043229	IC
Q5J4W0	GO:0043231	IC
Q5J4W0	GO:0044424	IC
Q5J4W0	GO:0044444	IC
Q5J4W0	GO:0044464	IC
Q2LIN5	GO:0005575	IC
Q2LIN5	GO:0009536	IC
Q2LIN5	GO:0043226	IC
Q2LIN5	GO:0043227	IC
Q2LIN5	GO:0043229	IC
Q2LIN5	GO:0043231	IC
Q2LIN5	GO:0044424	IC
Q2LIN5	GO:0044444	IC
Q2LIN5	GO:0044464	IC
Q2F6L4	GO:0005575	IC
Q2F6L4	GO:0009536	IC
Q2F6L4	GO:0043226	IC
Q2F6L4	GO:0043227	IC
Q2F6L4	GO:0043229	IC
Q2F6L4	GO:0043231	IC
Q2F6L4	GO:0044424	IC
Q2F6L4	GO:0044444	IC
Q2F6L4	GO:0044464	IC
Q2F6M6	GO:0005575	IC
Q2F6M6	GO:0009536	IC
Q2F6M6	GO:0043226	IC
Q2F6M6	GO:0043227	IC
Q2F6M6	GO:0043229	IC
Q2F6M6	GO:0043231	IC
Q2F6M6	GO:0044424	IC
Q2F6M6	GO:0044444	IC
Q2F6M6	GO:0044464	IC
Q2F937	GO:0005575	IC
Q2F937	GO:0005739	IC
Q2F937	GO:0043226	IC
Q2F937	GO:0043227	IC
Q2F937	GO:0043229	IC
Q2F937	GO:0043231	IC
Q2F937	GO:0044424	IC
Q2F937	GO:0044444	IC
Q2F937	GO:0044464	IC
Q5N802	GO:0005575	IC
Q5N802	GO:0005634	IC
Q5N802	GO:0043226	IC
Q5N802	GO:0043227	IC
Q5N802	GO:0043229	IC
Q5N802	GO:0043231	IC
Q5N802	GO:0044424	IC
Q5N802	GO:0044464	IC
Q5N802	GO:0030528	IC
Q5N802	GO:0045449	IC
Q2QMV9	GO:0030528	IC
Q2QMV9	GO:0005575	IC
Q2QMV9	GO:0005634	IC
Q2QMV9	GO:0043226	IC
Q2QMV9	GO:0043227	IC
Q2QMV9	GO:0043229	IC
Q2QMV9	GO:0043231	IC
Q2QMV9	GO:0044424	IC
Q2QMV9	GO:0044464	IC
Q2QMV9	GO:0045449	IC
A2WJR2	GO:0006629	IC
A2WJR2	GO:0006720	IC
A2WJR2	GO:0006721	IC
A2WJR2	GO:0008150	IC
A2WJR2	GO:0008152	IC
A2WJR2	GO:0008299	IC
A2WJR2	GO:0008610	IC
A2WJR2	GO:0009058	IC
A2WJR2	GO:0009987	IC
A2WJR2	GO:0016114	IC
A2WJR2	GO:0044237	IC
A2WJR2	GO:0044238	IC
A2WJR2	GO:0044249	IC
A2WJR2	GO:0044255	IC
A2WJR2	GO:0071704	IC
A2WJR2	GO:1901576	IC
A2WJR2	GO:0003674	IC
A2WJR2	GO:0003824	IC
A2WJR2	GO:0016491	IC
A2WJR2	GO:0016614	IC
A2WJR2	GO:0016616	IC
A2WJR2	GO:0030604	IC
C5MRJ8	GO:0005575	IC
C5MRJ8	GO:0009536	IC
C5MRJ8	GO:0043226	IC
C5MRJ8	GO:0043227	IC
C5MRJ8	GO:0043229	IC
C5MRJ8	GO:0043231	IC
C5MRJ8	GO:0044424	IC
C5MRJ8	GO:0044444	IC
C5MRJ8	GO:0044464	IC
