n.truth	n.pred	true.pos	false.pos	precision	recall	false.pos.rate	specificity	f1.score	mcc	gene
22	77	20	57	0.25974025974026	0.909090909090909	0.00120998556508449	0.998791476730627	0.404040404040404	0.485566305642286	A2WJR2
9	38	9	29	0.236842105263158	1	0.000615436854056578	0.999384941675504	0.382978723404255	0.4865144847823	C5MRJ8
35	154	35	119	0.227272727272727	1	0.00252680751672152	0.997479561147117	0.37037037037037	0.476128609555348	P92683
9	61	9	52	0.147540983606557	1	0.0011035419452049	0.998897674517203	0.257142857142857	0.38389864019362	Q2F6L4
9	0	0	0	0	0	0	1	0	0	Q2F6M6
9	112	9	103	0.0803571428571429	1	0.00218586192992509	0.997818905641199	0.148760330578512	0.283163368460283	Q2F937
9	49	9	40	0.183673469387755	1	0.000848878419388383	0.999151841564004	0.310344827586207	0.428389487433314	Q2LIN5
9	108	8	100	0.0740740740740741	0.888888888888889	0.00212219604847096	0.997882298130069	0.136752136752137	0.256256830431591	Q2QMV9
9	0	0	0	0	0	0	1	0	0	Q5J4W0
9	65	8	57	0.123076923076923	0.888888888888889	0.00120965174762845	0.998791809741829	0.216216216216216	0.33050562548661	Q5N802
