n.truth	n.pred	true.pos	false.pos	precision	recall	false.pos.rate	specificity	f1.score	mcc	gene
22	36	20	16	0.555555555555556	0.909090909090909	0.000339645070900909	0.999660470248706	0.689655172413793	0.710509127502283	A2WJR2
9	17	0	17	0	0	0.000360773328240063	0.999639356782214	0	-0.000262523439977648	C5MRJ8
35	26	7	19	0.269230769230769	0.2	0.000403439855610999	0.999596722842467	0.229508196721311	0.231557529288975	P92683
9	17	3	14	0.176470588235294	0.333333333333333	0.000297107446785934	0.99970298079983	0.230769230769231	0.242340020209955	Q2F6L4
9	0	0	0	0	0	0	1	0	0	Q2F6M6
9	102	4	98	0.0392156862745098	0.444444444444444	0.00207975212750154	0.997924564264385	0.0720720720720721	0.131531756387068	Q2F937
9	29	3	26	0.103448275862069	0.333333333333333	0.000551770972602449	0.999448533310709	0.157894736842105	0.185427309771845	Q2LIN5
9	4	0	4	0	0	8.48878419388383e-05	0.999915119363395	0	-0.000127325007871732	Q2QMV9
9	0	0	0	0	0	0	1	0	0	Q5J4W0
9	4	0	4	0	0	8.48878419388383e-05	0.999915119363395	0	-0.000127325007871732	Q5N802
