V1	V2	V3
A2WJR2	IPR003821	GO:0008299
A2WJR2	IPR003821	GO:0030604
A2WJR2	IPR003821	GO:0046872
A2WJR2	IPR003821	GO:0055114
A2WJR2	IPR013512	GO:0055114
A2WJR2	IPR013512	GO:0070402
A2WJR2	IPR013644	GO:0005515
C5MRJ8	IPR001135	GO:0016651
C5MRJ8	IPR001135	GO:0048038
C5MRJ8	IPR001135	GO:0051287
C5MRJ8	IPR001135	GO:0055114
P92683	IPR002124	GO:0004129
P92683	IPR002124	GO:0005740
Q2F6L4	IPR001280	GO:0009522
Q2F6L4	IPR001280	GO:0009579
Q2F6L4	IPR001280	GO:0015979
Q2F6L4	IPR001280	GO:0016021
Q2F937	IPR008688	GO:0000276
Q2F937	IPR008688	GO:0015078
Q2F937	IPR008688	GO:0015986
Q2LIN5	IPR002325	GO:0005506
Q2LIN5	IPR002325	GO:0009055
Q2LIN5	IPR002325	GO:0015979
Q2LIN5	IPR002325	GO:0020037
Q2LIN5	IPR002325	GO:0031361
Q2QMV9	IPR011598	GO:0046983
Q5N802	IPR011598	GO:0046983
