BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE	MapManBin.GO	IDENTIFIER.LONG
2.4.5.1.4	Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex.components.COX5b component	P92683	Cellular respiration.oxidative phosphorylation.cytochrome c oxidase complex.components.COX5b component (original description: none)	2.4.5.1.5	GO:0003674,GO:0003824,GO:0004129,GO:0005215,GO:0005575,GO:0005740,GO:0006091,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0008324,GO:0009055,GO:0009987,GO:0015002,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015672,GO:0016491,GO:0016675,GO:0016676,GO:0022857,GO:0022890,GO:0022900,GO:0031967,GO:0031975,GO:0034220,GO:0044237,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0055114,GO:0098655,GO:0098660,GO:0098662,GO:1902600	tr|p92683|p92683_orysj
2.4.6.1.2	Cellular respiration.oxidative phosphorylation.ATP synthase complex.membrane MF0 subcomplex.subunit b	Q2F937	Cellular respiration.oxidative phosphorylation.ATP synthase complex.membrane MF0 subcomplex.subunit b (original description: none)	2.4.6.1.2	GO:0000276,GO:0003674,GO:0005215,GO:0005575,GO:0005739,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0008324,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015672,GO:0015985,GO:0015986,GO:0015992,GO:0016020,GO:0016021,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0022857,GO:0022890,GO:0031090,GO:0031224,GO:0031966,GO:0032991,GO:0033177,GO:0034220,GO:0034641,GO:0034654,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0045263,GO:0046034,GO:0046390,GO:0046483,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0098798,GO:0098800,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902600	tr|q2f937|q2f937_orysj
9.1.2.3	Secondary metabolism.terpenoids.methylerythritol phosphate pathway.DXR 1-deoxy-D-xylulose 5-phosphate reductase	A2WJR2	Secondary metabolism.terpenoids.methylerythritol phosphate pathway.DXR 1-deoxy-D-xylulose 5-phosphate reductase (original description: none)	9.1.2.4	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0006081,GO:0006082,GO:0006090,GO:0006629,GO:0006644,GO:0006720,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0008654,GO:0009058,GO:0009240,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0019288,GO:0019637,GO:0019682,GO:0019752,GO:0030604,GO:0032787,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0046490,GO:0046872,GO:0048037,GO:0050661,GO:0050662,GO:0055114,GO:0070402,GO:0071704,GO:0090407,GO:0097159,GO:1901135,GO:1901265,GO:1901363,GO:1901576	tr|a2wjr2|a2wjr2_orysi
15.7.33	RNA biosynthesis.transcriptional activation.bHLH transcription factor	Q2QMV9	RNA biosynthesis.transcriptional activation.bHLH transcription factor (original description: none)	15.7.33		tr|q2qmv9|q2qmv9_orysj
15.7.33	RNA biosynthesis.transcriptional activation.bHLH transcription factor	Q5N802	RNA biosynthesis.transcriptional activation.bHLH transcription factor (original description: none)	15.7.33		tr|q5n802|q5n802_orysj
26.1.2.1.2	External stimuli response.light.UV-A/blue light.cryptochrome-mediated photoperception.CIB transcriptional regulator	Q5N802	External stimuli response.light.UV-A/blue light.cryptochrome-mediated photoperception.CIB transcriptional regulator (original description: none)	26.1.2.1.2	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005515,GO:0005575,GO:0005634,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0046983,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000112,GO:2001141	tr|q5n802|q5n802_orysj
35.1	not assigned.annotated	C5MRJ8	NAD(P)H-quinone oxidoreductase subunit H, chloroplastic OS=Oryza sativa subsp. indica (sp|p0c336|ndhh_orysi : 441.0)	35.1		tr|c5mrj8|c5mrj8_orysj
35.1	not assigned.annotated	Q2F6L4	Photosystem I P700 chlorophyll a apoprotein A1 OS=Oryza sativa subsp. japonica (sp|p0c355|psaa_orysj : 109.0)	35.1		tr|q2f6l4|q2f6l4_9oryz
35.2	not assigned.not annotated	Q2F6M6	 no hits & (original description: none)	35.2		tr|q2f6m6|q2f6m6_9oryz
35.2	not assigned.not annotated	Q2LIN5	 no hits & (original description: none)	35.2		tr|q2lin5|q2lin5_9oryz
