n.truth	n.pred	true.pos	false.pos	precision	recall	false.pos.rate	specificity	f1.score	mcc	gene
22	53	20	33	0.377358490566038	0.909090909090909	0.000700517958733124	0.999299972423156	0.533333333333333	0.585448746823107	A2WJR2
9	0	0	0	0	0	0	1	0	0	C5MRJ8
35	45	14	31	0.311111111111111	0.4	0.000658243974944262	0.999342189025167	0.35	0.352223721863695	P92683
9	0	0	0	0	0	0	1	0	0	Q2F6L4
9	0	0	0	0	0	0	1	0	0	Q2F6M6
9	112	9	103	0.0803571428571429	1	0.00218586192992509	0.997818905641199	0.148760330578512	0.283163368460283	Q2F937
9	0	0	0	0	0	0	1	0	0	Q2LIN5
9	0	0	0	0	0	0	1	0	0	Q2QMV9
9	0	0	0	0	0	0	1	0	0	Q5J4W0
9	63	8	55	0.126984126984127	0.888888888888889	0.00116720782665903	0.998834152959132	0.222222222222222	0.335719677507756	Q5N802
