V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	query.ukb.short.id	hit.ukb.short.id
tr|A2WJR2|A2WJR2_ORYSI	sp|Q8W250|DXR_ORYSJ	99.8	473	1	0	1	473	1	473	2e-277	955.7	A2WJR2	Q8W250
tr|C5MRJ8|C5MRJ8_ORYSJ	sp|Q6ENA1|NDHH_ORYNI	100	216	0	0	1	216	178	393	1.8e-124	446.4	C5MRJ8	Q6ENA1
tr|P92683|P92683_ORYSJ	sp|Q9LW15|CX5B1_ARATH	71.6	109	29	1	55	161	59	167	2.3e-42	173.3	P92683	Q9LW15
tr|Q2F6L4|Q2F6L4_9ORYZ	sp|Q6ENH4|PSAA_ORYNI	100	49	0	0	1	49	1	49	8.9e-24	109.8	Q2F6L4	Q6ENH4
tr|Q2F937|Q2F937_ORYSJ	sp|Q00058|MI25_ORYSI	98.5	197	3	0	1	197	1	197	3.9e-102	372.1	Q2F937	Q00058
tr|Q2LIN5|Q2LIN5_9ORYZ	sp|A1EA21|CYF_AGRST	100	24	0	0	1	24	297	320	4.5e-05	46.6	Q2LIN5	A1EA21
tr|Q2QMV9|Q2QMV9_ORYSJ	sp|Q84WK0|BH085_ARATH	90.6	85	8	0	214	298	264	348	1.9e-36	154.5	Q2QMV9	Q84WK0
tr|Q5N802|Q5N802_ORYSJ	sp|Q9SRT2|BH062_ARATH	51.9	212	92	4	272	481	253	456	6.9e-44	179.9	Q5N802	Q9SRT2
